Titolo;Contenuto
L.R. 18 maggio 1999, n. 9 e smi e D.Lgs 3 aprile 2006 n. 152 e smi - Procedura di Valutazione Impatto Ambientale relativa al progetto di realizzazione di un impianto eolico in località Cresta del Pianaccio e Monte Foppo nei comuni di Tornolo e Bedonia (PR) all’interno della procedura di rilascio della nuova Autorizzazione Unica ex art. 12 del DLgs 387/03, per la costruzione e l’esercizio dell’impianto eolico, delle opere ed infrastrutture ad esso connesse, comportante apposizione del vincolo preordinato all’esproprio e dichiarazione di pubblica utilità nei comuni di Tornolo e Bedonia - Archiviazione procedura;Si comunica che la procedura di Valutazione di Impatto Ambientale (VIA) all’interno della procedura di Autorizzazione Unica (AU), avviata con pubblicazione nel BURERT n. 61 del 26/2/2014 e n. 73 del 12/3/2014, e relativa al progetto di realizzazione di un impianto di produzione di energia elettrica da fonte rinnovabile eolica localizzato in località Cresta del Pianaccio e Monte Foppo nei comuni di Tornolo e Bedonia in Provincia di Parma, presentato da Enernova Srl, è archiviata.
L.R. 18 maggio 1999, n. 9 e smi e D.Lgs 3 aprile 2006 n. 152 e smi - Procedura di Valutazione Impatto Ambientale relativa al progetto di realizzazione di un impianto eolico in località Cresta del Pianaccio e Monte Foppo nei comuni di Tornolo e Bedonia (PR) all’interno della procedura di rilascio della nuova Autorizzazione Unica ex art. 12 del DLgs 387/03, per la costruzione e l’esercizio dell’impianto eolico, delle opere ed infrastrutture ad esso connesse, comportante apposizione del vincolo preordinato all’esproprio e dichiarazione di pubblica utilità nei comuni di Tornolo e Bedonia;La Provincia di Parma - Servizio Ambiente, Parchi, Sicurezza e Protezione Civile, Autorità competente per l’effettuazione della valutazione di impatto ambientale nei casi previsti dalla normativa vigente, avvisa che, ai sensi del Titolo III della L.R. 9/99 e s.m.i. e ai sensi del DLgs 152/06 e s.m.i, sono stati depositati per la libera consultazione da parte dei soggetti interessati gli elaborati prescritti per l’effettuazione della procedura di VIA e per la costruzione ed esercizio della linea e degli impianti elettrici, il SIA e il progetto definitivo, relativi al:
L.R. 18 maggio 1999, n. 9 e smi e D.Lgs 3 aprile 2006 n.152 e smi - Procedura di Valutazione Impatto Ambientale relativa al progetto di realizzazione di un impianto eolico in località Cresta del Pianaccio e Monte Foppo nei comuni di Tornolo e Bedonia (PR) all’interno della procedura di rilascio della nuova Autorizzazione Unica ex art. 12 del DLgs 387/03, per la costruzione e l’esercizio dell’impianto eolico, delle opere ed infrastrutture ad esso connesse, comportante apposizione del vincolo preordinato all’esproprio e dichiarazione di pubblica utilità nei comuni di Tornolo e Bedonia;La Provincia di Parma - Servizio Ambiente, Parchi, Sicurezza e Protezione Civile, Autorità competente per l’effettuazione della valutazione di impatto ambientale nei casi previsti dalla normativa vigente, avvisa che, ai sensi del Titolo III della L.R. 9/99 e s.m.i. e ai sensi del DLgs 152/06 e s.m.i, sono stati depositati per la libera consultazione da parte dei soggetti interessati gli elaborati prescritti per l’effettuazione della procedura di VIA e per la costruzione ed esercizio della linea e degli impianti elettrici, il SIA e il progetto definitivo, relativi al:
"Procedure in materia di impatto ambientale (Parte II del D.Lgs. 152/06 e L.R. 9/99) - procedura di valutazione d'impatto ambientale (VIA) relativa al progetto di un impianto per lo sfruttamento della risorsa idrica ai fini della produzione di energia elettrica sul torrente Enza in località San Polo d’Enza (RE), denominato ""San Polo d’Enza"", all’interno dell’Autorizzazione unica ex. art. 12 D.Lgs. 387/2003 – Avviso relativo alla presentazione domanda di concessione derivazione di acque superficiali dal torrente Enza, in comune di San Polo d’Enza (RE) con occupazione di demanio fluviale – Pratica n. 599 - RE13A0080 del Servizio Tecnico di Bacino degli Affluenti del Po";"L'Autorità competente Provincia di Reggio Emilia avvisa che, ai sensi dell'art. 14 della L.R. 9/99 e dell’art. 12 del D.Lgs. 387/2003, sono stati depositati per la libera consultazione da parte dei soggetti interessati gli elaborati prescritti per l'effettuazione della procedura di Valutazione d'Impatto Ambientale (""VIA"") relativi a:"
Comunicazione inerente apposizione del vincolo preordinato all’esproprio e dichiarazione di pubblica utilità, indifferibilità ed urgenza delle opere relativa al progetto di realizzazione di impianto idroelettrico e delle opere ed infrastrutture ad esso connesse in località Ponte Verucchio (comune di Verucchio) sottoposto alle procedure di Valutazione di Impatto Ambientale (L.R. 9/99 e s.m.i.) e Autorizzazione Unica (D.Lgs. 387/03 e s.m.i.);Si rende noto che la Società GECOsistema Srl, con sede legale in Piazza Malatesta n. 21 - 47923 Rimini, ha presentato in data 19/07/2012 alla Provincia di Rimini, Autorità competente ai sensi dell’art. 3 della L.R. 26/2004, un’ istanza, con dichiarazione di pubblica utilità (ai sensi dell'art. 12 comma 1 D.Lgs. 387/03), per il rilascio dell’Autorizzazione Unica ai sensi dell’art. 12 D.Lgs. 387/2003 per la costruzione ed esercizio, di un impianto mini-idroelettrico sul Fiume Marecchia, nel Comune di Verucchio (RN).
"Procedure in materia di Impatto Ambientale L.R. 18 maggio 1999, n. 9 e successive modifiche ed integrazioni - Procedura di Autorizzazione Unica D.Lgs 387/03 - Procedura di variazione agli strumenti urbanistici L.R. 18 maggio 1999, n. 9 come modificata dalla L.R. 16 novembre 2000 n. 35 - Procedura espropriativa L.R. 19 dicembre 2002, n. 37, e successive modifiche e integrazioni; L.R. 22 febbraio 1993, n. 10, e successive modifiche e integrazioni - Titolo III. Progetto di impianto idroelettrico ""San Bartolomeo"" sul Rio Collagna in comune di Collagna (RE), categoria piccole derivazioni. Pubblicazione integrazioni";L'Autorità competente per la Valutazione di Impatto Ambientale: Regione Emilia-Romagna - Servizio Valutazione Impatto e Promozione Sostenibilità Ambientale avvisa che ai sensi del Titolo III della Legge regionale 18 maggio 1999, n. 9 e successive modifiche ed integrazioni, nonché ai sensi del R.R. 20 novembre 2001 n. 41, del RD 1775 dell’11 dicembre 1933, del DPR 327 dell’8 giugno 2001 e della L.R. 37/02 sono stati depositati, per la libera consultazione da parte dei soggetti interessati, elaborati progettuali integrativi rispetto al progetto originario,
Procedura di valutazione di impatto ambientale (VIA), Titolo III della L.R. 9/99 – Procedura di Autorizzazione Unica DLgs 387/03 – Procedura di concessione di derivazione acque pubbliche R.R. 41/01 – Procedura di autorizzazione alla realizzazione di linee elettriche L.R. 10/93 – Procedura espropriativa DPR 327/01 e L.R. 37/02 - Procedura di variazione degli strumenti urbanistici L.R. 9/99 e L. R. 10/93. Progetto di impianto idroelettrico sul fiume Trebbia in località San Salvatore ;L’Autorità competente - Provincia di Piacenza - comunica la decisione relativa alla procedura di VIA concernente il
Procedura di autorizzazione unica, ai sensi dell'art.12 del DLgs 387/03, alla costruzione ed esercizio dell'impianto idroelettrico di Marzabotto, sul fiume Reno, in Comune di Marzabotto (Bo). Avviso di deposito, ai sensi dell’art. 14 comma 2, L.R. 9/99 e ss.mm.ii. del S.I.A. e del progetto nell’ambito della procedura di valutazione di impatto ambientale di cui al Titolo III, artt. 11 ss. L.R. 9/99 e s.m. e i. Proponente: SERI Srl;Seri Srl, con sede legale in Brescia Via IV Novembre 2, ha presentato alla Provincia di Bologna, autorità competente ai sensi dell’art. 3 della L.R. 26/04, una istanza completa di rilascio - acquisita agli atti in data 18/7/2013 - ai sensi dell’art. 12 DLgs 387/003, dell’Autorizzazione Unica alla costruzione ed esercizio di un impianto idroelettrico sul Fiume Reno, in comune di Marzabotto.
Procedura di Autorizzazione Unica, ai sensi dell'art.12 del DLgs 387/03, alla costruzione ed esercizio di un impianto idroelettrico sul fiume Reno in comune di Marzabotto (BO), in località Pian di Venola. Avviso di deposito, ai sensi dell’art. 14 comma 2, L.R. 9/99 e s.m.i., del S.I.A. e del progetto nell’ambito della procedura di valutazione di impatto ambientale di cui al Titolo III, artt. 11 ss. L.R. 9/99 e s.m. e i. Proponente: SERI Srl;Seri Srl, con sede legale in Via IV Novembre n.2 - 25121 Brescia, ha presentato alla Provincia di Bologna, Autorità competente ai sensi dell’art. 3 della L.R. 26/04, una istanza completa di rilascio (acquisita agli atti il 18/7/2013), ai sensi dell’art. 12 DLgs. 387/03, dell’Autorizzazione Unica alla costruzione ed esercizio di un impianto idroelettrico sul Fiume Reno, in località Pian di Venola, in comune di Marzabotto.
Autorizzazione Unica ex Dlgs 387/2003 smi per la costruzione e l’esercizio di un impianto idroelettrico ed opere e infrastrutture ad esso connesse in Comune di Palanzano Loc. Velago comportante la variante allo strumento urbanistico comunale POC l’apposizione del vincolo preordinato all’esproprio e la dichiarazione di pubblica utilità indifferibilità ed urgenza delle opere previste - Avvio del procedimento;Si avvisa che la ditta Idrovet Srl con sede in Località Montanaro Casino, 51 comune di Carpaneto Piacentino (PC) ha presentato domanda di Autorizzazione Unica (A.U.) ai sensi di art. 12 DLgs 387/03, DM Sviluppo Economico 10/9/2010 con prot n. 9372 del 4/2/2009 per la costruzione ed esercizio di un impianto idroelettrico, comprensivo delle opere e infrastrutture indispensabili per la connessione alla rete elettrica esistente da realizzarsi in comune di Palanzano Località Velago foglio: 42, mappali: 217, 238, 239, 240, 241, 244, 246, 248, 277, 279.
"Procedure in materia di Impatto Ambientale L.R. 18 maggio 1999, n. 9 e successive modifiche ed integrazioni - Procedura di Autorizzazione Unica D.Lgs 387/03 - Procedura di variazione agli strumenti urbanistici L.R. 18 maggio 1999, n. 9 come modificata dalla L.R. 16 novembre 2000 n. 35 - Procedura espropriativa L.R. 19 Dicembre 2002, n. 37, e successive modifiche e integrazioni; L.R. 22 febbraio 1993, n. 10, e successive modifiche e integrazioni - Titolo III - progetto di impianto idroelettrico ""Rio Rumale"" sul Rio Rumale in comune di Villa Minozzo (RE), categoria piccole derivazioni. Pubblicazione integrazioni";"L'Autorità competente per la Valutazione di Impatto Ambientale: Regione Emilia-Romagna - Servizio Valutazione Impatto e Promozione Sostenibilità Ambientale avvisa che ai sensi del Titolo III della Legge regionale 18 maggio 1999, n. 9 e successive modifiche ed integrazioni, nonché ai sensi del R.R. 20 novembre 2001 n. 41, del RD 1775 dell’11 dicembre 1933, del DPR 327 dell’8 giugno 2001 e della L.R. 37/02 sono stati depositati, per la libera consultazione da parte dei soggetti interessati, elaborati progettuali modificativi rispetto al progetto originario (in progetto si dichiara che l'aggiornamento dei dati altimetrici, reso necessario per conferire omogeneità cartografica al progetto non modifica in alcun modo la previsione della localizzazione dei manufatti corrispondenti, la quale rimane del tutto identica);"
"Procedure in materia di impatto ambientale (Parte II del DLgs 152/06 e L.R. 9/99) - Procedura di valutazione d'impatto ambientale (VIA) relativa al progetto ""Realizzazione di minicentrale idroelettrica sul fiume Secchia in comune di Ligonchio (RE) loc. Giarola, denominata 'Briglia alta'"", all’interno dell’autorizzazione unica ex. art. 12 DLgs 387/03";L'Autorità competente Provincia di Reggio Emilia avvisa che, ai sensi dell'art. 14 della L.R. 9/99, dell’art. 12 del DLgs 387/03, del Regolamento Regionale per la disciplina del procedimento di concessione di acqua pubblica
"Procedure in materia di Impatto Ambientale L.R. 18 maggio 1999, n. 9 e successive modifiche ed integrazioni – Procedura di Autorizzazione Unica D.Lgs 387/03 - Procedura di variazione agli strumenti urbanistici L.R. 18 maggio 1999, n. 9 come modificata dalla L.R. 16 novembre 2000 n. 35 - Procedura espropriativa L.R. 19 dicembre 2002, n. 37, e successive modifiche e integrazioni; L.R. 22 febbraio 1993, n. 10, e successive modifiche e integrazioni. Progetto di derivazione ad uso irriguo, uso plurimo (potabile ed industriale) ed idroelettrico dalla esistente traversa regionale di Castellarano sul fiume Secchia";L'Autorità competente per la Valutazione di Impatto Ambientale, Regione Emilia-Romagna - Servizio Valutazione Impatto e Promozione Sostenibilità Ambientale, ai sensi del Titolo III della Legge regionale 18 maggio 1999, n. 9 e successive modifiche ed integrazioni, nonché ai sensi del R.R. 20 novembre 2001 n. 41, del RD 1775 dell’11 dicembre 1933, del DPR 327 dell’8 giugno 2001 e della L.R. 37/2002, avvisa che sono stati depositati, per la libera consultazione da parte dei soggetti interessati, gli elaborati progettuali necessari per l’effettuazione della procedura di VIA, relativa al progetto:
Procedimento di Autorizzazione Unica D.Lgs. 387/2003 - Impianto alimentato a biomasse legnose (cippato) della potenza elettrica di 480kWe, Via Tonarone, in comune di Montecreto (MO) – Proponente: Tecnologie Ambientali Srl - Archiviazione;La Provincia di Modena, Autorità competente ai sensi del D.Lgs. 387/2003 e della L.R. 26/2004, avvisa che il Procedimento Unico ex D.Lgs. 387/2003, il cui avvio è stato comunicato con la pubblicazione nel BURERT n. 9 del 16/1/2013, è archiviato secondo quanto esplicitamente richiesto dal proponente con nota trasmessa in data 30/8/2013.
Avviso di deposito del progetto di impianto idroelettrico sul Torrente Tevere nel comune di Verghereto, località Falera presentato da Energie e Servizi Srl - Autorizzazione unica DLgs 387/03 con apposizione del vincolo preordinato all'esproprio e dichiarazione di pubblica utilità, indifferibilità ed urgenza delle opere;"Si rende noto che la ditta Energie e Servizi Srl - con sede legale in Comune di San Mauro Pascoli (FC), - Via Due Martiri n. 2 - con domanda in data 14/08/2013, (prot. Prov. n. 114022/13 ) come integrata in data 27/8/2013 (prot. prov. n. 115600/13), ha chiesto l'autorizzazione unica per la costruzione ed esercizio (ai sensi del DLgs. 387/03), di un impianto di produzione di energia elettrica da fonte rinnovabile di tipo “idroelettrico” di potenzialità pari a 99 kWp da realizzare in Comune di Verghereto, loc. Falera, (identificato catastalmente alle part.lle 332, 641, 378, 379, 380 del Foglio n. 87 del Comune di Verghereto; part.lle 96, 99, 118, 129, 116 del Foglio n. 86 del Comune di Verghereto)."
DLgs 387/03 - Autorizzazione Unica alla realizzazione ed esercizio di un impianto idroelettrico a coclea idraulica sul fiume Secchia, loc. La Volta, in comune di Prignano s/S. (MO) – Proponente Immobilenergy Srl – Avviso di deposito – Dichiarazione di concorrenza.;L’Autorità competente, Provincia di Modena - Servizio Valutazioni, Autorizzazioni e Controlli Ambientali Integrati, ai sensi dell’art. 12 del DLgs 387/03, avvisa che il giorno 17/6/2013, la Società Immobilenergy Srl, con sede legale in Via Radici in Piano n.48, in Comune di Sassuolo (MO), ha presentato domanda per ottenere l’autorizzazione unica alla realizzazione ed all’esercizio dell’impianto per la produzione di energia elettrica alimentato ad acqua fluente della potenza di 99kWe, in Comune di Prignano sulla Secchia (MO).
Procedure in materia di impatto ambientale L.R. 18 maggio 1999, n. 9 come integrata ai sensi del DLgs 3 aprile, 2006, n. 152 e successive modifiche ed integrazioni Titolo III - Procedura di VIA all’interno della procedura di Autorizzazione Unica relativa al progetto di un impianto eolico in località Nicelli nei comuni di Farini e Ferriere (PC) presentato da Eolico Nicelli Srl. Archiviazione procedura;Si comunica che la procedura di VIA all’interno della procedura di Autorizzazione Unica per il progetto di realizzazione di un impianto eolico in località Nicelli nei comuni di Farini e Ferriere in provincia di Piacenza, presentato da Eolico Nicelli srl, di cui all'avviso pubblicato sul BUR del 7 novembre 2012, ai sensi di quanto disposto dal comma 3-ter dell’art. 26 del D. Lgs. 152/06, è archiviata in quanto il proponente non ha fornito le integrazioni richieste in data 8 marzo 2013 (PG.2013.63238).
Estratto del decreto di asservimento n. 7457/2013 degli immobili di proprietà dell’Azienda Agricola Sole Srl – Lavori di costruzione impianto fotovoltaico connesso alla Rete Elettrica in località Porotto (FE) Via Pelosa. Autorizzazione unica P.G. 62003 del 29/7/2011 e P.G. 52880 del 28/6/2012 – Beneficiario: Terna SpA ;Con Decreto di Asservimento prot. n. 7457 del 18/6/2013 il Dirigente dell’Ufficio Espropri della Provincia di Ferrara - Dott. Andrea Aragusta
L.R. 9/99 smi - Procedura in materia di Impatto ambientale relativa al progetto di realizzazione di impianto idroelettrico e delle opere ed infrastrutture ad esso connesse in Fornovo Taro (comune di Fornovo di Taro) zona Ponte Solferino sul F. Taro, all’interno della procedura di rilascio di Autorizzazione Unica ex DLgs 387/03 smi, comportante variante allo strumento urbanistico del Comune;Ai sensi della L.R. 9/99 smi sono stati depositati presso l’Autorità competente Provincia di Parma per la libera consultazione da parte dei soggetti interessati, gli elaborati prescritti per l’effettuazione della procedura di Valutazione di Impatto Ambientale (VIA) relativi al progetto di realizzazione impianto idroelettrico e delle opere ed infrastrutture ad esso connesse in zona ponte Solferino di Fornovo di Taro (Comune di Fornovo di Taro).
Procedure in materia di impatto ambientale L.R. 18 maggio 1999, n. 9 come integrata ai sensi del D.Lgs. 3 aprile 2006, n. 152 e successive modifiche ed integrazioni - Titolo III - Procedura di VIA all’interno della procedura di Autorizzazione Unica per il progetto di realizzazione di un impianto di produzione di energia elettrica da fonte rinnovabile eolica nei Comuni di Camugnano, Castiglione dei Pepoli, Vergato e Grizzana Morandi in provincia di Bologna presentato da Enel Green Power SpA. Archiviazione procedura;Si comunica che la procedura di VIA all’interno della procedura di Autorizzazione Unica per il progetto di realizzazione di un impianto di produzione di energia elettrica da fonte rinnovabile eolica nei Comuni di Camugnano, Castiglione dei Pepoli, Vergato e Grizzana Morandi in provincia di Bologna presentato da Enel Green Power SpA di cui all'avviso pubblicato nel BUR n. 10 del 18 gennaio 2012 e successivo avviso di deposito delle integrazioni pubblicato nel BUR del 26/9/2012, è annullata su richiesta della Società proponente Enel Green Power SpA (nota del 13/5/2013 acquisita dalla Regione Emilia-Romagna al PG.2013.117752 del 14 maggio 2013), in quanto la società ha comunicato il ritiro della domanda di VIA e di autorizzazione unica in oggetto al termine della conferenza dei servizi conclusiva del 14 maggio 2013 che si è conclusa con un provvedimento negativo di valutazione di impatto ambientale. Si comunica pertanto la conseguente archiviazione della pratica a tutti gli effetti di legge.
"Procedura di Autorizzazione Unica, ai sensi dell'art.12 del D.Lgs. 387/2003, per il ""Progetto di impianto mini-idroelettrico sul fiume Reno, in località Santa Viola, Comune di Bologna (BO)"". Avviso di deposito, ai sensi dell’art. 15bis comma 3, L.R. 9/99 e s.m.i., del S.I.A. e del progetto nell'ambito della procedura di Valutazione di Impatto Ambientale di cui al Titolo III, artt. 11 e ss. - L.R. 9/99 e s. m. e i. Proponente: Green Hydro 1 Srl";La Green Hydro 1 Srl, con sede legale in Via Corso Italia, 11 - 00198 Roma e domicilio presso Nomar Enterprise Srl, Via Giordano Bruno n.160 - 47521 Cesena (FC), ha presentato alla Provincia di Bologna, Autorità competente ai sensi dell’art. 3 della L.R. 26/2004, una istanza completa di rilascio (acquisita agli atti il 17/8/2012), ai sensi dell’art. 12 D.Lgs. 387/2003, dell’Autorizzazione Unica alla costruzione ed esercizio di un impianto mini-idroelettrico sul Fiume Reno, in località Santa Viola, in comune di Bologna.
Procedura in materia di impatto ambientale L.R. 18 maggio 1999, n. 9 e smi e D.Lgs 3 aprile 2006 n.152 e smi - Procedura di VIA relativa al progetto di realizzazione di un impianto eolico in località Passo Santa Donna nel comune di Borgo Val di Taro (PR) all’interno della procedura di rilascio della nuova Autorizzazione Unica ex art. 12 del DLgs 387/03, di competenza della Provincia di Parma, per la costruzione e l’esercizio dell’impianto eolico, delle opere ed infrastrutture ad esso connesse, comportante apposizione del vincolo preordinato all’esproprio, dichiarazione di pubblica utilità e variante allo strumento urbanistico del Comune di Borgo Val di Taro;La Provincia di Parma - Servizio Ambiente, Parchi, Sicurezza e Protezione Civile, Autorità competente per l’effettuazione della valutazione di impatto ambientale nei casi previsti dalla normativa vigente, avvisa che, ai fini della massima trasparenza amministrativa, gli elaborati prescritti per l’effettuazione della procedura di VIA e per la costruzione ed esercizio della linea e degli impianti elettrici, il SIA e il progetto definitivo, relativi al:
L.R. 9/99 smi Procedure in materia di Impatto Ambientale relativa al progetto di realizzazione di impianto idroelettrico e delle opere ed infrastrutture ad esso connesse in loc. Ponte Bratica (Comune di Corniglio) all’interno della procedura di rilascio di Autorizzazione Unica ex DLgs 387/2003 smi, comportante apposizione del vincolo preordinato all’esproprio, dichiarazione di pubblica utilità e variante allo strumento urbanistico del Comune;Ai sensi della L.R. 9/99 smi sono stati depositati presso l’Autorità competente Provincia di Parma per la libera consultazione da parte dei soggetti interessati, gli elaborati prescritti per l’effettuazione della procedura di Valutazione di Impatto Ambientale (VIA) volontaria relativi al progetto di realizzazione impianto idroelettrico e delle opere ed infrastrutture ad esso connesse in loc. Ponte Bratica (Comune di Corniglio).
Procedure in materia di impatto ambientale L.R. 18 maggio 1999, n. 9 e successive modifiche e integrazioni - Titolo III - Procedura di valutazione di impatto ambientale effettuata d’intesa con la Regione Marche relativa al progetto di realizzazione di un parco eolico localizzato nei comuni di Mondaino (RN), Montecalvo in Foglia (PU) e Colbordolo (PU) all’interno della procedura di rilascio della Autorizzazione unica ex art. 12 del DLgs 387/03, per la costruzione e l’esercizio dell’impianto eolico, delle opere ed infrastrutture ad esso connesse, comportante variante urbanistica, apposizione del vincolo preordinato all’esproprio e dichiarazione di pubblica utilità, ex artt. 11 e 16 del DPR 327/01, artt. 3 e 4 bis della L.R. 10/93, relativamente alle opere connesse;La Regione Emilia-Romagna - Servizio di Valutazione Impatto e Promozione Sostenibilità Ambientale, autorità competente per l’effettuazione della Valutazione di Impatto Ambientale nei casi previsti dalla normativa vigente e la Provincia di Rimini, autorità competente per il rilascio della Autorizzazione Unica per i territori di propria competenza, avvisano che, ai sensi del Titolo III della L.R. n. 9/1999, sono stati depositati per la libera consultazione da parte dei soggetti interessati gli elaborati prescritti per l’effettuazione della procedura di VIA, il SIA e il progetto definitivo, relativi al:
Procedura di Valutazione di Impatto Ambientale (VIA), Titolo III della L.R. n. 9/1999 – Procedura di Autorizzazione Unica D.Lgs. n. 387/2003 – Procedura di concessione di derivazione acque pubbliche R.R. n. 41/2001 – Procedura di autorizzazione alla realizzazione di linee elettriche L.R. n. 10/1993 – Procedura espropriativa DPR 327/2001 e L.R. n. 37/2002 - Procedura di variazione degli strumenti urbanistici L.R. n. 9/1999 e L.R. n. 10/1993. Progetto di impianto idroelettrico sul fiume Trebbia in località San Salvatore. Integrazione e riavvio deposito;La Provincia di Piacenza, con riferimento al progetto di “impianto idroelettrico sul fiume Trebbia in località San Salvatore” - localizzato nel comune di Bobbio e presentato dall'ing. Flavio Friburgo, già oggetto di pubblicazione ai fini del deposito nel B.U.R. n. 284 del 19/12/2012 e sul quotidiano Libertà di pari data, a seguito della presentazione della documentazione relativa alla variante degli strumenti urbanistici comunali da espletarsi (in relazione alla realizzazione di un nuovo elettrodotto e per l'apposizione del vincolo preordinato all'esproprio) nell'ambito della procedura VIA, comunica che lo S.I.A., il progetto definitivo e gli elaborati prescritti per l’effettuazione di tale procedura, sono nuovamente depositati per 60 (sessanta) giorni naturali consecutivi dalla data di pubblicazione del presente avviso nel Bollettino Ufficiale della Regione e su di un quotidiano locale. 
Avviso di deposito del progetto di impianto idroelettrico sul Fiume Savio nel Comune di Mercato Saraceno, in prossimità dello svincolo della S.S. E45, presentato da Bartolini Nicolas - Autorizzazione unica D.Lgs. 387/03 con apposizione del vincolo preordinato all'esproprio e dichiarazione di pubblica utilità, indifferibilità ed urgenza delle opere;Si rende noto che il Sig. Bartolini Nicolas - residente in Comune di Sant'Agata Feltria (RN), località Romagnano, Via Mozart n. 9 - con domanda in data 31/8/2012 (prot. prov. n. 84644 del 3/9/2012) come integrata in data 11/1/2013 (prot. prov. n. 3445 del 14/1/2013), ha chiesto l'autorizzazione unica per la costruzione ed esercizio, con dichiarazione di pubblica utilità (ai sensi dell'art. 12 comma 1 D.Lgs. 387/03), di un impianto di produzione di energia elettrica da fonte rinnovabile di tipo “idroelettrico” di potenzialità pari a 66 kWp da realizzare in Comune di Mercato Saraceno, in prossimità dello svincolo della S.S. E45 (identificato catastalmente alle part.lle 240, 245, 248, 267, 268, 281, 283, 285, 59, 280, 246, 287 Foglio n. 72 del Comune di Mercato Saraceno).
Procedura di VIA relativa al progetto di realizzazione di un impianto idroelettrico ad acqua fluente, denominato Sant’Enrico Martire, da realizzare presso il Rio Spigone, in comune di Calestano (PR) all’interno della procedura di rilascio della nuova Autorizzazione Unica ex art. 12 del DLgs 387/03, di competenza della Provincia di Parma, per la costruzione e l’esercizio dell’impianto idroelettrico, delle opere ed infrastrutture ad esso connesse, comportante apposizione del vincolo preordinato all’esproprio, dichiarazione di pubblica utilità e variante allo strumento urbanistico del Comune di Calestano;La Provincia di Parma - Servizio Ambiente, Parchi, Sicurezza e Protezione Civile, Autorità competente per l’effettuazione della Valutazione di impatto ambientale nei casi previsti dalla normativa vigente, avvisa che, ai sensi del Titolo III della L.R. 9/99 e s.m.i. e ai sensi del DLgs 152/06 e s.m.i, Parte Seconda, Titolo III, sono stati depositati per la libera consultazione da parte dei soggetti interessati gli elaborati prescritti per l’effettuazione della procedura di VIA e per la costruzione ed esercizio della linea e degli impianti elettrici, il SIA e il progetto definitivo, relativi al:
Avviso di deposito del progetto di impianto idroelettrico sul torrente Para nel comune di Verghereto, podere Mulinaccio, Strada per Velle, presentato da Energie e Servizi Srl - Autorizzazione unica D.Lgs. 387/03 con apposizione del vincolo preordinato all'esproprio e dichiarazione di pubblica utilità, indifferibilità ed urgenza delle opere;Si rende noto che la ditta Energie e Servizi srl – con sede legale in Comune di San Mauro Pascoli (FC), Via Due Martiri n. 2 – con domanda in data 20/12/2012 (prot. prov. n. 119095/12) come integrata in data 29/1/2013 (prot. prov. n. 10002/13, 10003/13 e 10004/13), ha chiesto l'autorizzazione unica per la costruzione ed esercizio, con dichiarazione di pubblica utilità (ai sensi dell'art. 12, comma 1 DLgs. 387/03), di un impianto di produzione di energia elettrica da fonte rinnovabile di tipo “idroelettrico” di potenzialità pari a 85 kWp da realizzare in comune di Verghereto, podere Mulinaccio, Strada per Velle (identificato catastalmente alle part.lle 1, 12, Foglio n. 58 e alle part.lle 414, 415, 416, 417, 418, 444, 445, 467, 469, 470, 480, 481, 482, 483, 557, 558, 1010, 1096 Foglio n. 49 del Comune di Verghereto).
L.R. 18 maggio 1999, n. 9 e s.m.i. e DLgs 3 aprile 2006, n. 152 e s.m.i. - Procedura di VIA relativa al progetto di realizzazione di un impianto eolico in località Passo Santa Donna nel comune di Borgo Val di Taro (PR) all’interno della procedura di rilascio della nuova Autorizzazione Unica ex art. 12 del DLgs 387/03, di competenza della Provincia di Parma, per la costruzione e l’esercizio dell’impianto eolico, delle opere ed infrastrutture ad esso connesse, comportante apposizione del vincolo preordinato all’esproprio, dichiarazione di pubblica utilità e variante allo strumento urbanistico del Comune di Borgo Val di Taro;La Provincia di Parma - Servizio Ambiente, Parchi, Sicurezza e Protezione Civile, Autorità competente per l’effettuazione della Valutazione di impatto ambientale nei casi previsti dalla normativa vigente, avvisa che, ai sensi del Titolo III della L.R. 9/99 e s.m.i. e ai sensi del DLgs 152/06 e s.m.i, sono stati depositati per la libera consultazione da parte dei soggetti interessati gli elaborati prescritti per l’effettuazione della procedura di VIA e per la costruzione ed esercizio della linea e degli impianti elettrici, il SIA e il progetto definitivo, relativi al:
D.Lgs. 387/2003, DM. 10/9/2010, D.Lgs. 28/2011 L.R. 26/04, L. 241/90 – Procedura unica per l’autorizzazione di modifiche all’impianto per produzione di energia elettrica da biogas in località Colombaro di Formigine. Proponente: Az. Agr. Colombaro Due S.S. Avviso di deposito;L’Autorità competente, Provincia di Modena - Servizio Valutazioni, Autorizzazioni e Controlli Ambientali Integrati, ai sensi dell’art. 12 del Dlgs 387/2003, avvisa che il giorno 15/1/2013, l’Azienda Agricola Colombaro Due S.S., con sede legale in Via Viazza di Sotto n. 11, in località Colombaro di Formigine (MO), ha presentato domanda per ottenere l’autorizzazione unica alla modifica dell’impianto per la produzione di energia elettrica alimentato a biogas prodotto dalla digestione anaerobica di liquami zootecnici, localizzato presso Via Viazza di Sotto n.11, autorizzato con le determinazioni dirigenziali n. 9/2010 e 47/2011.
